"Date","Price","Open","High","Low","Vol.","Change %"
"03/07/2023","10.00","9.20","10.10","9.20","3.38M","8.70%"
"03/03/2023","9.20","9.00","9.20","8.80","788.47K","3.37%"
"03/02/2023","8.90","8.90","9.00","8.90","700.88K","0.00%"
"03/01/2023","8.90","8.90","9.00","8.80","25.25K","-1.11%"
"02/28/2023","9.00","8.80","9.00","8.80","473.56K","2.27%"
"02/27/2023","8.80","8.80","8.90","8.80","28.37K","0.00%"
"02/24/2023","8.80","8.80","8.80","8.70","185.30K","-1.12%"
"02/23/2023","8.90","8.80","8.90","8.80","35.98K","1.14%"
"02/22/2023","8.80","8.80","9.00","8.80","417.86K","1.15%"
"02/21/2023","8.70","8.80","8.90","8.60","3.97M","-1.14%"
"02/20/2023","8.80","9.00","9.00","8.70","61.36K","-1.12%"
"02/17/2023","8.90","9.00","9.00","8.70","101.65K","1.14%"
"02/16/2023","8.80","9.10","9.10","8.70","348.69K","-2.22%"
"02/15/2023","9.00","8.90","9.00","8.70","41.19K","0.00%"
"02/14/2023","9.00","8.90","9.00","8.70","55.14K","1.12%"
"02/13/2023","8.90","9.40","9.40","8.80","365.80K","-6.32%"
"02/10/2023","9.50","9.50","9.60","9.50","15.81K","0.00%"
"02/09/2023","9.50","9.60","9.60","9.40","337.82K","-1.04%"
"02/08/2023","9.60","10.00","10.00","9.40","81.12K","-2.04%"
"02/07/2023","9.80","10.00","10.00","9.70","112.17K","-2.00%"
"02/06/2023","10.00","10.00","10.00","9.70","4.38M","0.00%"
"02/03/2023","10.00","9.50","10.10","9.50","7.86M","5.26%"
"02/02/2023","9.50","9.60","9.60","9.40","212.05K","0.00%"
"02/01/2023","9.50","9.40","9.60","9.40","1.74M","1.06%"
"01/31/2023","9.40","9.40","9.50","9.30","1.15M","0.00%"
"01/30/2023","9.40","9.30","9.40","9.30","659.43K","1.08%"
"01/27/2023","9.30","9.30","9.40","9.10","577.28K","1.09%"
"01/26/2023","9.20","9.20","9.30","9.20","329.03K","0.00%"
"01/25/2023","9.20","9.20","9.30","9.10","85.92K","0.00%"
"01/24/2023","9.20","9.20","9.30","9.10","375.57K","0.00%"
"01/23/2023","9.20","9.20","9.30","9.20","435.71K","0.00%"
"01/20/2023","9.20","9.10","9.30","9.10","624.31K","0.00%"
"01/19/2023","9.20","9.10","9.20","9.10","141.58K","1.10%"
"01/18/2023","9.10","9.20","9.20","9.00","477.78K","-1.09%"
"01/17/2023","9.20","9.00","9.20","9.00","987.46K","1.10%"
